"id","title","subtitle","image","author","averageRating","pageCount","release","addedIn","rating","backlogged"
"53","Tokyo Ghoul – Band 10","","http://books.google.com/books/content?id=Eb5QEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Sui Ishida","0","224","2015-11-05 00:00:00.000","2022","4","0"
"54","Tokyo Ghoul – Band 11","","http://books.google.com/books/content?id=E75QEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Sui Ishida","0","224","2016-01-14 00:00:00.000","2022","4","0"
"55","Tokyo Ghoul – Band 12","","http://books.google.com/books/content?id=Fb5QEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Sui Ishida","0","208","2016-03-03 00:00:00.000","2022","4","0"
"56","Tokyo Ghoul – Band 13","","http://books.google.com/books/content?id=Gb5QEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Sui Ishida","0","224","2016-05-05 00:00:00.000","2022","4","0"
"57","Tokyo Ghoul – Band 14 (Finale)","","http://books.google.com/books/content?id=F75QEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Sui Ishida","0","232","2016-07-07 00:00:00.000","2022","4","0"
"58","The Boys - Gnadenlos-Edition, Band 1","","http://books.google.com/books/content?id=TF94DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Garth Ennis","0","338","2017-10-30 00:00:00.000","2022","2","0"
"59","The Boys Band 2 - Der glorreiche Fünfjahresplan","","http://books.google.com/books/content?id=TGB3DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Garth Ennis","0","194","2014-03-15 00:00:00.000","2022","1.5","0"
"60","Fire Punch – Band 1","","http://books.google.com/books/content?id=I79QEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Tatsuki Fujimoto","0","208","2018-05-03 00:00:00.000","2022","2.5","0"
"61","Fire Punch – Band 2","","http://books.google.com/books/content?id=Jb9QEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Tatsuki Fujimoto","0","208","2018-07-05 00:00:00.000","2022","2.5","0"
"62","Gyo Deluxe","","http://books.google.com/books/content?id=xzwKEAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","Junji Ito","0","408","2020-12-01 00:00:00.000","2022","3.5","0"
"65","Masamune-Kun no Revenge (V1 - V3)","","https://m.media-amazon.com/images/I/51R8k9JHuUL.jpg","Hazuki Takeoka","0","0","2012-10-27 00:00:00.000","2022","3.5","0"
"68","Feuertaufe","Roman – Die Hexer-Saga 3","http://books.google.com/books/content?id=CV9Xv4mM9h4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Andrzej Sapkowski","0","443","2011-01-01 00:00:00.000","2021","3","0"
"71","Loki: Where Mischief Lies","","https://m.media-amazon.com/images/I/81Tb6VL5MUL._AC_UF894,1000_QL80_.jpg","Mackenzi Lee","9.6","396","2019-09-03 00:00:00.000","2021","3.5","0"
"73","Invincible 1","","http://books.google.com/books/content?id=ojzFDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Robert Kirkman","9.2","1024","2019-12-18 00:00:00.000","2021","4","0"
"74","Invincible 2","","http://books.google.com/books/content?id=QKjvDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Robert Kirkman","9.6","1184","2020-07-29 00:00:00.000","2021","5","0"
"75","Invincible 3","","http://books.google.com/books/content?id=x6rvDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Robert Kirkman","9.8","1104","2020-07-29 00:00:00.000","2021","5","0"
"76","Uzumaki Deluxe","Spiral into Horror","http://books.google.com/books/content?id=6jqlDwAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","Junji Ito","9.6","656","2019-04-30 00:00:00.000","2021","5","0"
"77","Shiver","Das Best-of von Junji Ito – neun Kurzgeschichten vom Meister des Horrors selbst ausgewählt und mit persönlichen Kommentaren versehen.","http://books.google.com/books/content?id=JE82EAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","Junji Ito","0","400","2021-06-29 00:00:00.000","2021","4","0"
"78","Death Note","Hetzjagd","http://books.google.com/books/content?id=KrYnQAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","Takeshi Obata","0","2400","null","2021","5","0"
"80","The Drifting Classroom","","https://m.media-amazon.com/images/I/511ZNwLDXmL._AC_UF894,1000_QL80_.jpg","Kazuo Umezz","0","2264","2019-10-29 00:00:00.000","2021","2.5","0"
"81","Sakura - I want to eat your pancreas 1","","http://books.google.com/books/content?id=pdCkDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Yoru Sumino","0","208","2019-08-01 00:00:00.000","2021","5","0"
"82","Sakura - I want to eat your pancreas 2","","http://books.google.com/books/content?id=TpesDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Yoru Sumino","0","226","2019-08-30 00:00:00.000","2021","5","0"
"83","Parasyte - Kiseijuu","","https://m.media-amazon.com/images/I/41PDE7Wp+ZL._AC_UF894,1000_QL80_.jpg","Hitoshi Iwaaki","0","2224","2018-06-25 00:00:00.000","2021","5","0"
"85","Your Lie in April","","https://pictures.abebooks.com/isbn/9788494354076-de.jpg","Unbekannter Autor","0","0","2023-02-05 03:35:03.855115","2023","4","0"
"87","Jujutsu Kaisen 00","Städtische Fachoberschule für Magie Tokyo","http://books.google.com/books/content?id=779QEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Gege Akutami","0","206","2020-03-05 00:00:00.000","2023","5","0"
"88","Jujutsu Kaisen – Band 1","","http://books.google.com/books/content?id=8b9QEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Gege Akutami","0","195","2019-11-07 00:00:00.000","2023","5","0"
