"id","title","image","genres","addedIn","release","averageRating","rating","backlogged"
"194","Spider-Man: Across the Spider-Verse","https://image.tmdb.org/t/p/original//jKM36CaXU4W57jGichRkpc6S5P3.jpg","Action,Abenteuer,Animation,","2023","2023-05-30 00:00:00.000","8.5","5","0"
"195","The Flash","https://image.tmdb.org/t/p/original//tuPAjzS42xDG0LHxTTr4Kma0KOo.jpg","Science Fiction,Action,Abenteuer,","2023","2023-06-12 00:00:00.000","6.7","3","0"
"197","Barbie","https://image.tmdb.org/t/p/original//65k975H5wcRIzePv6lCJhMnRuXg.jpg","Komödie,Abenteuer,Fantasy,","2023","2023-07-09 00:00:00.000","7.5","5","0"
"198","Oppenheimer","https://image.tmdb.org/t/p/original//8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg","Drama,Historie,","2023","2023-07-21 00:00:00.000","8.3","2.5","0"
"199","The Old Guard","https://image.tmdb.org/t/p/original//2AuZFt994oFQTznOgmZYY1SBado.jpg","Action,Fantasy,","2023","2020-07-10 00:00:00.000","7.2","2.5","0"
"200","Blue Beetle","https://image.tmdb.org/t/p/original//h4BoV9d1rNIWfjlTwZtNbaCkGwn.jpg","Action,Science Fiction,","2023","2023-08-15 00:00:00.000","7.1","3","0"
"201","The Equalizer 3 - The Final Chapter","https://image.tmdb.org/t/p/original//5f6eESHOHirfw4sEFDsbVgx1Rrc.jpg","Action,Thriller,Krimi,","2023","2023-09-01 00:00:00.000","7.1","2.5","0"
"202","The Nun II","https://image.tmdb.org/t/p/original//tPynKTxF9fJrY6cdLS243Cv6TxB.jpg","Horror,Mystery,Thriller,","2023","2023-09-08 00:00:00.000","6.9","2.5","0"
"203","Conjuring 3: Im Bann des Teufels","https://image.tmdb.org/t/p/original//lYriKjYigmIixn7WJtRC307zOQP.jpg","Horror,Mystery,Thriller,","2023","2021-06-04 00:00:00.000","7.5","2.5","0"
"204","Inception","https://image.tmdb.org/t/p/original//t5WUY5ZSxwVIVExaMZmmIj88BKA.jpg","Action,Science Fiction,Abenteuer,","2023","2010-07-16 00:00:00.000","8.4","4","0"
