"id","title","addedIn","image","release","genres","platforms","averageRating","trophy","rating","backlogged"
"104","Marvel's Spider-Man 2","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co79vq.jpg","2023-10-20 02:00:00.000","Hack and slash/Beat 'em up,Adventure,","PS5,","9","1","5","0"
"105","Super Mario Bros. Wonder","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co6nnl.jpg","2023-10-20 02:00:00.000","Platform,","Switch,","9.3","2","4","0"
"106","Resident Evil 7: Biohazard","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co545w.jpg","2017-01-24 01:00:00.000","Shooter,Puzzle,Adventure,","PC,PS4,XONE,PlayStation VR,PS5,Series X,Stadia,","8.6","0","3.5","0"
"107","A Plague Tale: Requiem","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co5pwb.jpg","2022-10-18 02:00:00.000","RPG,Adventure,","PC,Switch,PS5,Series X,","8.5","0","2.5","1"
"108","Baba is You","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co2hqt.jpg","2019-03-13 01:00:00.000","Puzzle,Strategy,Indie,","Linux,PC,Mac,Android,iOS,Switch,","8.1","0","2.5","1"
"109","Cyberpunk 2077","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co7497.jpg","2020-12-09 01:00:00.000","Shooter,RPG,Adventure,","PC,PS4,XONE,PS5,Series X,Stadia,","7.7","1","2.5","1"
"110","Kunai","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co1y5z.jpg","2020-02-06 01:00:00.000","Platform,Adventure,Indie,","PC,Switch,","7.1","0","2.5","1"
"111","Dead Space","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co5esn.jpg","2023-01-27 01:00:00.000","Shooter,RPG,Adventure,","PC,PS5,Series X,","8.7","0","2.5","1"
"112","Dying Light 2: Stay Human","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co65yk.jpg","2022-02-03 01:00:00.000","RPG,Adventure,","PC,PS4,XONE,PS5,Series X,","7.5","0","2.5","1"
"114","Resident Evil Village","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co2zpu.jpg","2021-05-06 02:00:00.000","Shooter,Adventure,","PC,Mac,iOS,PS4,XONE,PS5,Series X,Stadia,PSVR2,","8.5","0","2.5","1"
"116","Resident Evil 3","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co22l7.jpg","2020-04-03 02:00:00.000","Shooter,Adventure,","PC,PS4,XONE,PS5,Series X,","8","0","2.5","1"
"117","Resident Evil 4","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co6bo0.jpg","2023-03-24 01:00:00.000","Shooter,Puzzle,Adventure,","PC,Mac,iOS,PS4,PS5,Series X,","9.3","0","2.5","1"
"118","Alan Wake II","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co6jar.jpg","2023-10-27 02:00:00.000","Shooter,Adventure,","PC,PS5,Series X,","8.9","0","2.5","1"
"119","Hitman World of Assassination","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co620f.jpg","2023-01-26 01:00:00.000","Shooter,Tactical,Adventure,","PC,PS4,XONE,PlayStation VR,PS5,Series X,","8.7","0","2.5","1"
"120","Catherine: Full Body","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co2e3g.jpg","2019-02-14 01:00:00.000","Platform,Puzzle,Simulator,Strategy,Adventure,","Vita,PS4,Switch,","8.2","0","2.5","1"
"122","Prince of Persia: The Lost Crown","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co6lli.jpg","2024-01-18 01:00:00.000","Platform,Adventure,","PC,PS4,XONE,Switch,PS5,Series X,","0","0","2.5","1"
"123","Persona 5 Tactica","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co6lyo.jpg","2023-11-17 01:00:00.000","RPG,Simulator,Strategy,Tactical,","PC,PS4,XONE,Switch,PS5,Series X,","8.8","0","2.5","1"
"124","Lords of the Fallen","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co72u9.jpg","2023-10-13 02:00:00.000","RPG,Adventure,","PC,PS5,Series X,","6.7","0","2.5","1"
"125","Persona 3 Reload","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co6z12.jpg","2024-02-02 01:00:00.000","RPG,Strategy,TBS,Adventure,","PC,PS4,XONE,PS5,Series X,","0","0","2.5","1"
"126","Tunic","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/td1t8kb33gyo8mvhl2pc.jpg","2022-03-16 01:00:00.000","Puzzle,RPG,Adventure,Indie,","PC,Mac,PS4,XONE,Switch,PS5,Series X,","8.7","0","2.5","1"
"127","Deathloop","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co4nzt.jpg","2021-09-14 02:00:00.000","Shooter,Adventure,","PC,PS5,Series X,","8.6","0","2.5","1"
"131","Scarlet Nexus","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co3b6l.jpg","2021-06-24 02:00:00.000","RPG,Adventure,","PC,PS4,XONE,PS5,Series X,","7.9","0","2.5","1"
"132","The Last of Us Part II: Remastered","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co7dw9.jpg","2024-01-19 01:00:00.000","Shooter,Adventure,","PS5,","0","0","2.5","1"
"133","Mass Effect 3","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co6dqb.jpg","2021-05-14 02:00:00.000","Shooter,RPG,Strategy,Adventure,","PC,PS4,XONE,","0","0","2.5","1"
"134","Mass Effect 2","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co6dqa.jpg","2021-05-14 02:00:00.000","Shooter,RPG,Strategy,Adventure,","PC,PS4,XONE,","9","0","2.5","1"
"135","Mass Effect","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co6dq9.jpg","2021-05-14 02:00:00.000","Shooter,RPG,Strategy,Adventure,","PC,PS4,XONE,","7.1","0","2.5","1"
"136","Lost in Random","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co3xva.jpg","2021-09-10 02:00:00.000","RPG,Adventure,","PC,PS4,XONE,Switch,PS5,Series X,","7.4","0","2.5","1"
"140","We Were Here Forever","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co5293.jpg","2022-05-10 02:00:00.000","Puzzle,Adventure,Indie,","PC,PS4,XONE,PS5,Series X,","7.6","0","2.5","1"
"141","Devil May Cry 5: Special Edition","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co2hwl.jpg","2020-11-10 01:00:00.000","Hack and slash/Beat 'em up,","PS5,Series X,","8.6","0","5","0"
"142","PowerWash Simulator","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co7gek.jpg","2021-05-19 02:00:00.000","Simulator,Indie,","PC,PS4,XONE,Switch,PS5,Series X,","7.5","0","3","0"
"144","Trek to Yomi","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co4p88.jpg","2022-05-05 02:00:00.000","Hack and slash/Beat 'em up,Adventure,Indie,","PC,PS4,XONE,Switch,PS5,Series X,","7","0","1.5","0"
"145","Dredge","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co69zw.jpg","2023-03-30 02:00:00.000","RPG,Simulator,Adventure,","PC,PS4,XONE,Switch,PS5,Series X,","8.2","0","2.5","1"
"146","Jusant","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co6lz0.jpg","2023-10-31 01:00:00.000","Platform,Adventure,","PC,PS5,Series X,","8.2","0","2.5","1"
"147","Slay the Princess","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co501b.jpg","2023-10-23 02:00:00.000","Point-and-click,RPG,Simulator,Adventure,Indie,Visual Novel,","Linux,PC,Mac,","8.3","0","2.5","1"
"150","Resident Evil 2","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co1ir3.jpg","2019-01-25 01:00:00.000","Shooter,Adventure,","PC,PS4,XONE,PS5,Series X,","9.1","0","4.5","0"
"152","Dark Souls III","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co1vcf.jpg","2016-03-24 01:00:00.000","RPG,Adventure,","PC,PS4,XONE,","8.7","0","5","0"
"154","Elden Ring (NG)","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co4jni.jpg","2022-02-25 01:00:00.000","RPG,Adventure,","PC,PS4,XONE,PS5,Series X,","9.6","1","5","0"
"155","The Nioh Collection","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co2kiz.jpg","2021-02-05 01:00:00.000","RPG,Hack and slash/Beat 'em up,Adventure,","PS5,","8.9","0","2.5","1"
"156","Lies of P","2024","https://images.igdb.com/igdb/image/upload/t_cover_big/co6lxr.jpg","2023-09-18 02:00:00.000","RPG,","PC,Mac,PS4,XONE,PS5,Series X,","8.6","1","5","0"
